Date,NoDur,Durbl,Manuf,Enrgy,HiTec,Telcm,Shops,Hlth,Utils,Other
1991-01,4.630000000000001,6.77,5.9399999999999995,-2.57,14.450000000000001,-0.33,8.83,4.02,-1.8900000000000001,6.960000000000001
1991-02,9.809999999999999,9.75,5.390000000000001,8.04,5.93,2.94,7.82,9.389999999999999,4.359999999999999,9.2
1991-03,4.34,0.72,0.94,0.8800000000000001,0.31,1.8900000000000001,8.14,4.9799999999999995,1.27,2.66
1991-04,-1.5,-2.88,0.0,1.93,-3.4299999999999997,0.5900000000000001,1.44,-1.67,-0.5700000000000001,0.75
1991-05,3.13,14.25,7.010000000000001,-1.88,3.1399999999999997,-1.92,7.180000000000001,4.180000000000001,-0.31999999999999995,4.49
1991-06,-5.37,-4.88,-4.68,-4.07,-9.23,-2.32,-4.71,-4.6,-2.78,-5.64
1991-07,5.18,-0.8999999999999999,2.6399999999999997,4.58,4.13,2.71,4.84,7.970000000000001,3.5,4.21
1991-08,4.94,-2.59,1.45,1.25,2.35,0.36999999999999994,3.16,2.42,3.06,2.65
1991-09,-3.71,-3.14,-2.7399999999999998,-1.17,-1.76,0.08000000000000002,-3.71,-0.8200000000000001,3.27,-1.03
1991-10,-1.02,-2.41,1.06,1.6400000000000001,1.57,1.6800000000000002,-2.37,6.21,0.81,1.9
1991-11,-0.91,-8.36,-5.93,-8.09,-4.76,-5.319999999999999,-1.6400000000000001,-2.98,1.5,-5.79
1991-12,14.25,7.26,11.18,1.69,8.739999999999998,9.44,12.59,16.16,4.62,12.239999999999998
1992-01,-3.3899999999999997,10.15,1.9799999999999998,-4.46,6.3,-2.9499999999999997,0.019999999999999962,-5.89,-4.92,1.72
1992-02,0.8200000000000001,12.0,1.91,-0.8,3.58,-1.49,2.3099999999999996,-2.92,-1.52,2.8499999999999996
1992-03,-1.9000000000000001,0.45,-1.51,-3.13,-5.5,-1.32,-1.73,-5.81,-0.8700000000000001,-2.4899999999999998
1992-04,0.42,7.58,2.68,9.17,-1.33,6.52,-3.8,-2.48,2.37,0.2
1992-05,1.0999999999999999,-2.2,-0.9400000000000001,2.9000000000000004,-0.26,-1.98,-0.05000000000000002,0.8499999999999999,2.25,1.23
1992-06,-3.1999999999999997,1.8299999999999998,-3.55,-3.8299999999999996,-4.4,0.9099999999999999,-2.2399999999999998,-5.04,0.22000000000000003,-0.33
1992-07,4.36,0.12,2.66,5.0200000000000005,2.68,5.0600000000000005,3.52,5.49,6.380000000000001,2.87
1992-08,0.59,-9.72,-3.75,2.34,-4.79,-1.31,-0.8200000000000001,-3.63,-0.75,-3.67
1992-09,0.8400000000000001,0.010000000000000009,1.58,-0.12,3.0999999999999996,1.55,3.8200000000000003,-5.2299999999999995,0.57,3.21
1992-10,-1.08,-0.16,0.67,-3.69,1.8900000000000001,-0.77,4.14,3.12,-0.66,2.75
1992-11,3.42,8.41,3.74,-2.91,6.1,4.06,6.93,4.6,-0.47,5.779999999999999
1992-12,-0.2,3.1100000000000003,1.13,1.63,-0.28,5.29,0.36,-1.6400000000000001,2.4299999999999997,3.58
1993-01,-1.01,9.219999999999999,-0.09,2.54,4.609999999999999,0.9299999999999999,-0.12000000000000001,-7.07,2.22,3.05
1993-02,-2.27,-0.5,1.44,5.74,-0.56,5.5,-1.72,-9.180000000000001,5.99,0.18000000000000002
1993-03,-0.24,5.24,1.9500000000000002,3.8600000000000003,1.9700000000000002,3.01,2.57,0.49,1.51,3.68
1993-04,-9.48,2.08,-0.24,0.9099999999999999,-3.92,-3.1100000000000003,-8.370000000000001,1.07,-0.38,-3.4400000000000004
1993-05,2.4499999999999997,0.9000000000000001,2.15,1.54,8.559999999999999,4.010000000000001,5.65,3.36,-0.27,1.49
1993-06,-1.0,3.06,-0.5700000000000001,-1.38,-0.6699999999999999,4.39,-3.13,-3.24,2.93,1.94
1993-07,-2.5999999999999996,1.44,-0.35,0.25,-4.12,1.91,0.47,-6.180000000000001,1.7,1.8099999999999998
1993-08,4.03,0.25,3.18,3.9699999999999998,6.15,5.22,3.72,2.88,3.43,3.18
1993-09,-2.05,0.5599999999999999,-2.19,1.1199999999999999,1.06,-0.74,-0.53,0.62,-0.9,1.45
1993-10,5.87,7.29,2.8899999999999997,-2.16,1.4000000000000001,2.3699999999999997,4.5200000000000005,5.720000000000001,-2.18,-2.52
