Date,NoDur,Durbl,Manuf,Enrgy,HiTec,Telcm,Shops,Hlth,Utils,Other
1991-01,5.15,7.29,6.46,-2.05,14.97,0.19,9.35,4.54,-1.37,7.48
1991-02,10.29,10.23,5.87,8.52,6.41,3.42,8.3,9.87,4.84,9.68
1991-03,4.78,1.16,1.38,1.32,0.75,2.33,8.58,5.42,1.71,3.1
1991-04,-0.97,-2.35,0.53,2.46,-2.9,1.12,1.97,-1.14,-0.04,1.28
1991-05,3.6,14.72,7.48,-1.41,3.61,-1.45,7.65,4.65,0.15,4.96
1991-06,-4.95,-4.46,-4.26,-3.65,-8.81,-1.9,-4.29,-4.18,-2.36,-5.22
1991-07,5.67,-0.41,3.13,5.07,4.62,3.2,5.33,8.46,3.99,4.7
1991-08,5.4,-2.13,1.91,1.71,2.81,0.83,3.62,2.88,3.52,3.11
1991-09,-3.25,-2.68,-2.28,-0.71,-1.3,0.54,-3.25,-0.36,3.73,-0.57
1991-10,-0.6,-1.99,1.48,2.06,1.99,2.1,-1.95,6.63,1.23,2.32
1991-11,-0.52,-7.97,-5.54,-7.7,-4.37,-4.93,-1.25,-2.59,1.89,-5.4
1991-12,14.63,7.64,11.56,2.07,9.12,9.82,12.97,16.54,5.0,12.62
1992-01,-3.05,10.49,2.32,-4.12,6.64,-2.61,0.36,-5.55,-4.58,2.06
1992-02,1.1,12.28,2.19,-0.52,3.86,-1.21,2.59,-2.64,-1.24,3.13
1992-03,-1.56,0.79,-1.17,-2.79,-5.16,-0.98,-1.39,-5.47,-0.53,-2.15
1992-04,0.74,7.9,3.0,9.49,-1.01,6.84,-3.48,-2.16,2.69,0.52
1992-05,1.38,-1.92,-0.66,3.18,0.02,-1.7,0.23,1.13,2.53,1.51
1992-06,-2.88,2.15,-3.23,-3.51,-4.08,1.23,-1.92,-4.72,0.54,-0.01
1992-07,4.67,0.43,2.97,5.33,2.99,5.37,3.83,5.8,6.69,3.18
1992-08,0.85,-9.46,-3.49,2.6,-4.53,-1.05,-0.56,-3.37,-0.49,-3.41
1992-09,1.1,0.27,1.84,0.14,3.36,1.81,4.08,-4.97,0.83,3.47
1992-10,-0.85,0.07,0.9,-3.46,2.12,-0.54,4.37,3.35,-0.43,2.98
1992-11,3.65,8.64,3.97,-2.68,6.33,4.29,7.16,4.83,-0.24,6.01
1992-12,0.08,3.39,1.41,1.91,0.0,5.57,0.64,-1.36,2.71,3.86
1993-01,-0.78,9.45,0.14,2.77,4.84,1.16,0.11,-6.84,2.45,3.28
1993-02,-2.05,-0.28,1.66,5.96,-0.34,5.72,-1.5,-8.96,6.21,0.4
1993-03,0.01,5.49,2.2,4.11,2.22,3.26,2.82,0.74,1.76,3.93
1993-04,-9.24,2.32,0.0,1.15,-3.68,-2.87,-8.13,1.31,-0.14,-3.2
1993-05,2.67,1.12,2.37,1.76,8.78,4.23,5.87,3.58,-0.05,1.71
1993-06,-0.75,3.31,-0.32,-1.13,-0.42,4.64,-2.88,-2.99,3.18,2.19
1993-07,-2.36,1.68,-0.11,0.49,-3.88,2.15,0.71,-5.94,1.94,2.05
1993-08,4.28,0.5,3.43,4.22,6.4,5.47,3.97,3.13,3.68,3.43
1993-09,-1.79,0.82,-1.93,1.38,1.32,-0.48,-0.27,0.88,-0.64,1.71
1993-10,6.09,7.51,3.11,-1.94,1.62,2.59,4.74,5.94,-1.96,-2.3
1993-11,0.67,0.84,1.33,-5.94,0.01,-6.04,0.64,1.1,-5.52,-2.78
1993-12,1.46,4.51,3.73,0.6,2.98,-0.44,-1.82,2.45,1.61,2.62
1994-01,-0.44,6.96,4.85,4.9,4.72,2.01,1.03,1.98,-1.22,4.41
1994-02,-1.28,-4.36,-0.65,-2.94,1.66,-5.53,1.92,-5.57,-4.96,-3.88
1994-03,-4.05,-6.42,-4.45,-3.58,-3.89,-3.74,-4.81,-6.68,-3.93,-4.25
1994-04,1.22,-0.45,0.06,4.17,-1.59,1.42,0.2,2.3,2.12,1.27
1994-05,-1.33,-2.77,2.06,0.92,2.08,1.66,-1.81,4.43,-5.35,3.0
1994-06,-1.83,-3.44,-2.57,-2.73,-5.23,0.71,-2.67,-3.75,-3.14,-2.64
1994-07,2.94,3.68,4.56,3.26,3.87,3.2,0.86,1.08,5.17,2.69
1994-08,6.03,-0.25,4.73,-0.12,9.28,1.16,4.57,10.82,0.66,3.51
1994-09,-0.34,-5.07,-1.66,-2.09,-0.49,-1.1,-2.37,1.72,-2.78,-4.2
1994-10,2.16,-1.49,0.58,7.4,7.23,-0.08,1.24,0.91,1.57,0.05
1994-11,-1.67,-5.11,-5.43,-4.83,-2.14,-5.45,-3.41,0.47,0.27,-5.16
1994-12,1.32,3.85,4.06,-1.01,2.5,0.9,-2.85,0.58,0.35,1.42
1995-01,1.85,-5.82,-0.39,0.38,-0.82,4.2,1.53,6.18,6.22,4.68
